datetime,open,high,low,close,volume
2026-07-21 09:01:00,7330.0,7335.0,7310.0,7315.0,30426.0
2026-07-21 09:02:00,7315.0,7330.0,7300.0,7305.0,32471.0
2026-07-21 09:03:00,7310.0,7330.0,7310.0,7325.0,22088.0
2026-07-21 09:04:00,7325.0,7330.0,7315.0,7320.0,14932.0
2026-07-21 09:05:00,7320.0,7330.0,7310.0,7310.0,10037.0
2026-07-21 09:06:00,7315.0,7325.0,7310.0,7320.0,29053.0
2026-07-21 09:07:00,7330.0,7330.0,7310.0,7315.0,11019.0
2026-07-21 09:08:00,7315.0,7330.0,7315.0,7315.0,8584.0
2026-07-21 09:09:00,7315.0,7325.0,7315.0,7325.0,8562.0
2026-07-21 09:10:00,7325.0,7330.0,7315.0,7330.0,17583.0
2026-07-21 09:11:00,7325.0,7330.0,7315.0,7315.0,8083.0
2026-07-21 09:12:00,7320.0,7325.0,7315.0,7325.0,11374.0
2026-07-21 09:13:00,7325.0,7340.0,7320.0,7335.0,15153.0
2026-07-21 09:14:00,7340.0,7340.0,7320.0,7320.0,4508.0
2026-07-21 09:15:00,7325.0,7330.0,7320.0,7320.0,7854.0
2026-07-21 09:16:00,7320.0,7325.0,7315.0,7325.0,24972.0
2026-07-21 09:17:00,7322.0,7335.0,7315.0,7330.0,12226.0
2026-07-21 09:18:00,7330.0,7340.0,7325.0,7340.0,5375.0
2026-07-21 09:19:00,7335.0,7355.0,7330.0,7355.0,10494.0
2026-07-21 09:20:00,7355.0,7355.0,7345.0,7355.0,1651.0
2026-07-21 09:21:00,7350.0,7355.0,7345.0,7345.0,2699.0
2026-07-21 09:22:00,7355.0,7355.0,7340.0,7345.0,1840.0
2026-07-21 09:23:00,7355.0,7355.0,7340.0,7350.0,4512.0
2026-07-21 09:24:00,7345.0,7355.0,7340.0,7350.0,13201.0
2026-07-21 09:25:00,7350.0,7355.0,7345.0,7350.0,1087.0
2026-07-21 09:26:00,7350.0,7355.0,7345.0,7350.0,2820.0
2026-07-21 09:27:00,7350.0,7360.0,7345.0,7360.0,8927.0
2026-07-21 09:28:00,7360.0,7365.0,7355.0,7360.0,13689.0
2026-07-21 09:29:00,7360.0,7360.0,7355.0,7360.0,17977.0
2026-07-21 09:30:00,7362.0,7365.0,7360.0,7365.0,2017.0
2026-07-21 10:01:00,7385.0,7390.0,7385.0,7390.0,2508.0
2026-07-21 10:02:00,7390.0,7390.0,7385.0,7390.0,970.0
2026-07-21 10:03:00,7390.0,7390.0,7385.0,7390.0,13899.0
2026-07-21 10:04:00,7390.0,7395.0,7385.0,7395.0,5045.0
2026-07-21 10:05:00,7395.0,7400.0,7390.0,7400.0,1018.0
2026-07-21 10:06:00,7400.0,7400.0,7395.0,7400.0,22650.0
2026-07-21 10:07:00,7395.0,7395.0,7385.0,7395.0,21760.0
2026-07-21 10:08:00,7395.0,7400.0,7380.0,7400.0,47484.0
2026-07-21 10:09:00,7400.0,7400.0,7395.0,7400.0,2293.0
2026-07-21 10:10:00,7400.0,7405.0,7395.0,7400.0,10776.0
2026-07-21 10:11:00,7402.0,7405.0,7397.0,7405.0,1564.0
2026-07-21 10:12:00,7405.0,7405.0,7400.0,7402.0,1767.0
2026-07-21 10:13:00,7402.0,7402.0,7395.0,7400.0,3002.0
2026-07-21 10:14:00,7400.0,7405.0,7395.0,7405.0,14173.0
2026-07-21 10:15:00,7405.0,7405.0,7400.0,7405.0,1045.0
2026-07-21 10:16:00,7405.0,7410.0,7405.0,7410.0,2094.0
2026-07-21 10:17:00,7410.0,7410.0,7405.0,7410.0,15839.0
2026-07-21 10:18:00,7410.0,7410.0,7400.0,7410.0,26200.0
2026-07-21 10:19:00,7405.0,7410.0,7390.0,7405.0,10304.0
2026-07-21 10:20:00,7405.0,7405.0,7390.0,7405.0,1050.0
2026-07-21 10:21:00,7405.0,7405.0,7400.0,7405.0,2412.0
2026-07-21 10:22:00,7405.0,7405.0,7400.0,7405.0,1017.0
2026-07-21 10:23:00,7405.0,7405.0,7395.0,7405.0,1540.0
2026-07-21 10:24:00,7405.0,7405.0,7400.0,7405.0,288.0
2026-07-21 10:25:00,7405.0,7405.0,7395.0,7405.0,2371.0
2026-07-21 10:26:00,7405.0,7405.0,7395.0,7405.0,908.0
2026-07-21 10:27:00,7400.0,7405.0,7400.0,7400.0,142.0
2026-07-21 10:28:00,7400.0,7400.0,7395.0,7400.0,496.0
2026-07-21 10:29:00,7400.0,7400.0,7390.0,7395.0,16713.0
2026-07-21 10:30:00,7395.0,7400.0,7390.0,7400.0,2197.0
2026-07-21 11:01:00,7405.0,7405.0,7402.0,7405.0,746.0
2026-07-21 11:02:00,7405.0,7405.0,7400.0,7405.0,1945.0
2026-07-21 11:03:00,7405.0,7405.0,7400.0,7405.0,17220.0
2026-07-21 11:04:00,7405.0,7405.0,7400.0,7405.0,1131.0
2026-07-21 11:05:00,7405.0,7410.0,7400.0,7405.0,31222.0
2026-07-21 11:06:00,7410.0,7410.0,7410.0,7410.0,624.0
2026-07-21 11:07:00,7410.0,7410.0,7405.0,7410.0,304.0
2026-07-21 11:08:00,7410.0,7410.0,7405.0,7405.0,478.0
2026-07-21 11:09:00,7405.0,7405.0,7395.0,7405.0,3016.0
2026-07-21 11:10:00,7405.0,7405.0,7390.0,7390.0,8560.0
2026-07-21 11:11:00,7390.0,7395.0,7385.0,7395.0,7137.0
2026-07-21 11:12:00,7395.0,7400.0,7385.0,7387.0,547.0
2026-07-21 11:13:00,7390.0,7390.0,7385.0,7390.0,5115.0
2026-07-21 11:14:00,7390.0,7390.0,7385.0,7390.0,4387.0
2026-07-21 11:15:00,7385.0,7390.0,7385.0,7390.0,2462.0
2026-07-21 11:16:00,7390.0,7390.0,7380.0,7385.0,2976.0
2026-07-21 11:17:00,7385.0,7385.0,7380.0,7385.0,783.0
2026-07-21 11:18:00,7385.0,7385.0,7385.0,7385.0,284.0
2026-07-21 11:19:00,7385.0,7385.0,7370.0,7380.0,12410.0
2026-07-21 11:20:00,7375.0,7380.0,7370.0,7375.0,230.0
2026-07-21 11:21:00,7375.0,7385.0,7375.0,7385.0,4414.0
2026-07-21 11:22:00,7385.0,7385.0,7380.0,7385.0,2097.0
2026-07-21 11:23:00,7382.0,7390.0,7380.0,7390.0,3057.0
2026-07-21 11:24:00,7390.0,7395.0,7385.0,7395.0,2171.0
2026-07-21 11:25:00,7390.0,7395.0,7390.0,7395.0,1246.0
2026-07-21 11:26:00,7390.0,7395.0,7390.0,7395.0,180.0
2026-07-21 11:27:00,7395.0,7395.0,7395.0,7395.0,338.0
