market,score,avg_daily_range_pct,panic_day_ratio_pct,is_nr7,avg_won_volume,trend_corr,last_price,reasons,ticker,name
US,99.5,6.9,1.7,True,14645686091.0,0.055,91.72,"변동폭 적정(6.9%); 유동성 충분; 추세지속성 양호(0.05); NR7(최근7일중 최저변동성, 돌파 임박 가능성)",INTC,
US,98.5,5.58,0.0,True,1493797790.0,-0.041,9.24,"변동폭 적정(5.6%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)",NOK,
KR,98.2,6.23,0.0,False,8938163290008.0,0.253,254000.0,변동폭 적정(6.2%); 유동성 충분; 추세지속성 양호(0.25),005930,삼성전자
KR,96.5,4.97,0.0,False,864165904988.0,0.199,1113.0,변동폭 적정(5.0%); 유동성 충분; 추세지속성 양호(0.20),114800,KODEX 인버스
KR,90.4,5.13,0.0,False,103700937220.0,0.016,2765.0,변동폭 적정(5.1%); 유동성 충분,251340,KODEX 코스닥150선물인버스
KR,90.0,5.0,0.0,False,548819625416.0,0.003,12950.0,변동폭 적정(5.0%); 유동성 충분,229200,KODEX 코스닥150
US,86.3,6.07,0.0,False,641873520.0,-0.108,17.89,변동폭 적정(6.1%); 유동성 충분; 평균회귀 성향(-0.11),BMNR,
KR,84.7,9.76,9.1,True,704796659464.0,0.068,6260.0,"변동폭 다소 높음(9.8%); 유동성 충분; 추세지속성 양호(0.07); NR7(최근7일중 최저변동성, 돌파 임박 가능성)",233740,KODEX 코스닥150레버리지
US,81.9,3.35,0.0,False,31930798333.0,-0.243,202.43,변동폭 적정(3.3%); 유동성 충분; 평균회귀 성향(-0.24),NVDA,
US,77.5,8.65,5.0,False,741012219.0,-0.114,19.31,변동폭 다소 높음(8.6%); 유동성 충분; 평균회귀 성향(-0.11),QBTS,
KR,73.1,10.08,16.7,False,10965393333.0,0.285,107.0,변동폭 다소 높음(10.1%); 패닉성 급변동 비율 높음(17%); 유동성 충분; 추세지속성 양호(0.29),252710,TIGER 200선물인버스2X
KR,72.4,0.81,0.0,False,812820193613.0,0.103,27445.0,변동폭 다소 낮음(0.8%); 유동성 충분; 추세지속성 양호(0.10),360750,TIGER 미국S&P500
KR,69.6,10.45,10.6,False,109500370210.0,0.037,895.0,변동폭 다소 높음(10.4%); 유동성 충분,462330,KODEX 2차전지산업레버리지
KR,68.2,10.71,18.2,False,844669695560.0,0.194,100.0,변동폭 다소 높음(10.7%); 패닉성 급변동 비율 높음(18%); 유동성 충분; 추세지속성 양호(0.19),252670,KODEX 200선물인버스2X
KR,67.2,11.59,25.8,False,8141400394.0,0.246,4065.0,변동폭 다소 높음(11.6%); 패닉성 급변동 비율 높음(26%); 유동성 충분; 추세지속성 양호(0.25),413630,씨피시스템
KR,62.0,13.67,35.7,False,1849113352578.0,0.275,12880.0,변동폭 다소 높음(13.7%); 패닉성 급변동 비율 높음(36%); 유동성 충분; 추세지속성 양호(0.27),0193W0,KODEX 삼성전자단일종목레버리지
KR,61.2,13.58,31.0,False,1063671585929.0,0.245,11810.0,변동폭 다소 높음(13.6%); 패닉성 급변동 비율 높음(31%); 유동성 충분; 추세지속성 양호(0.25),0195R0,TIGER 삼성전자단일종목레버리지
KR,50.6,16.92,57.1,False,2074522660320.0,0.226,11740.0,변동폭 다소 높음(16.9%); 패닉성 급변동 비율 높음(57%); 유동성 충분; 추세지속성 양호(0.23),0195S0,TIGER SK하이닉스단일종목레버리지
KR,49.2,16.87,52.4,False,4153721052746.0,0.18,13875.0,변동폭 다소 높음(16.9%); 패닉성 급변동 비율 높음(52%); 유동성 충분; 추세지속성 양호(0.18),0193T0,KODEX SK하이닉스단일종목레버리지
KR,45.5,17.58,61.9,False,1972118141259.0,0.132,11255.0,변동폭 다소 높음(17.6%); 패닉성 급변동 비율 높음(62%); 유동성 충분; 추세지속성 양호(0.13),0197X0,SOL SK하이닉스선물단일종목인버스2X
