market,score,avg_daily_range_pct,panic_day_ratio_pct,is_nr7,is_high_rvol,rvol,avg_won_volume,trend_corr,last_price,reasons,ticker,name
US,100.0,3.93,0.0,False,True,2.98,1023685258.0,0.122,15.23,변동폭 적정(3.9%); 유동성 충분; 추세지속성 양호(0.12); RVOL 높음(평소 대비 3.0배 거래량),NU,
KR,99.1,8.16,2.9,True,False,0.75,9187481301699.0,0.109,274500.0,"변동폭 다소 높음(8.2%); 유동성 충분; 추세지속성 양호(0.11); NR7(최근7일중 최저변동성, 돌파 임박 가능성)",005930,삼성전자
US,94.5,3.54,0.0,True,False,0.63,30437344545.0,-0.164,225.16,"변동폭 적정(3.5%); 유동성 충분; 평균회귀 성향(-0.16); NR7(최근7일중 최저변동성, 돌파 임박 가능성)",NVDA,
US,92.5,6.47,0.0,False,False,0.78,789579914.0,0.08,16.01,변동폭 적정(6.5%); 유동성 충분; 추세지속성 양호(0.08),PATH,
US,90.3,7.76,0.0,False,False,0.85,13421560464.0,0.011,102.5,변동폭 적정(7.8%); 유동성 충분,INTC,
KR,87.8,6.93,2.9,False,False,0.91,1047503752472.0,0.056,1011.0,변동폭 적정(6.9%); 유동성 충분; 추세지속성 양호(0.06),114800,KODEX 인버스
KR,87.2,6.49,1.5,False,False,0.83,565826571505.0,-0.022,14830.0,변동폭 적정(6.5%); 유동성 충분,229200,KODEX 코스닥150
KR,85.0,6.64,2.9,False,False,0.91,122258832019.0,-0.029,2305.0,변동폭 적정(6.6%); 유동성 충분,251340,KODEX 코스닥150선물인버스
US,84.8,6.41,1.7,False,False,0.91,1309853830.0,-0.086,10.76,변동폭 적정(6.4%); 유동성 충분; 평균회귀 성향(-0.09),NOK,
US,81.5,8.71,5.0,False,False,1.18,779951936.0,0.011,9.24,변동폭 다소 높음(8.7%); 유동성 충분,ONDS,
KR,80.0,1.12,0.0,False,False,1.66,660884579380.0,0.166,24910.0,변동폭 다소 낮음(1.1%); 유동성 충분; 추세지속성 양호(0.17),379800,KODEX 미국S&P500
KR,78.1,1.12,0.0,False,False,1.53,861589448636.0,0.108,27410.0,변동폭 다소 낮음(1.1%); 유동성 충분; 추세지속성 양호(0.11),360750,TIGER 미국S&P500
US,76.2,8.65,11.7,False,False,0.95,1966909026.0,0.116,39.84,변동폭 다소 높음(8.7%); 유동성 충분; 추세지속성 양호(0.12),SMCI,
KR,75.1,12.95,26.5,False,True,2.2,6709036242.0,0.395,2575.0,변동폭 다소 높음(13.0%); 패닉성 급변동 비율 높음(26%); 유동성 충분; 추세지속성 양호(0.40); RVOL 높음(평소 대비 2.2배 거래량),459550,알트
KR,73.8,13.39,32.4,False,True,10.18,16098271037.0,0.487,6490.0,변동폭 다소 높음(13.4%); 패닉성 급변동 비율 높음(32%); 유동성 충분; 추세지속성 양호(0.49); RVOL 높음(평소 대비 10.2배 거래량),001210,금호전기
US,73.0,8.62,13.6,False,False,0.62,18150692417.0,0.096,140.0,변동폭 다소 높음(8.6%); 유동성 충분; 추세지속성 양호(0.10),SPCX,
KR,62.3,12.06,17.6,False,False,0.91,89455217897.0,0.138,1079.0,변동폭 다소 높음(12.1%); 패닉성 급변동 비율 높음(18%); 유동성 충분; 추세지속성 양호(0.14),462330,KODEX 2차전지산업레버리지
KR,56.3,12.67,26.5,False,False,0.93,755233506295.0,0.013,7815.0,변동폭 다소 높음(12.7%); 패닉성 급변동 비율 높음(26%); 유동성 충분,233740,KODEX 코스닥150레버리지
KR,54.3,14.03,35.3,False,False,0.52,12947796468.0,0.077,83.0,변동폭 다소 높음(14.0%); 패닉성 급변동 비율 높음(35%); 유동성 충분; 추세지속성 양호(0.08),252710,TIGER 200선물인버스2X
KR,53.6,13.1,27.9,False,False,1.29,40209904820.0,-0.03,1635.0,변동폭 다소 높음(13.1%); 패닉성 급변동 비율 높음(28%); 유동성 충분,Q530107,삼성 인버스 2X 코스닥150 선물 ETN
KR,51.6,14.63,38.2,False,False,0.68,932837435357.0,0.048,76.0,변동폭 다소 높음(14.6%); 패닉성 급변동 비율 높음(38%); 유동성 충분,252670,KODEX 200선물인버스2X
KR,47.5,20.17,69.6,True,False,0.57,3401375027474.0,0.078,9780.0,"변동폭 다소 높음(20.2%); 패닉성 급변동 비율 높음(70%); 유동성 충분; 추세지속성 양호(0.08); NR7(최근7일중 최저변동성, 돌파 임박 가능성)",0193T0,KODEX SK하이닉스단일종목레버리지
KR,37.0,25.95,2.9,False,True,10.01,29199409.0,0.024,17.0,변동폭 다소 높음(25.9%); 유동성 부족 가능성; RVOL 높음(평소 대비 10.0배 거래량),269620,시스웍
