market,score,avg_daily_range_pct,panic_day_ratio_pct,is_nr7,avg_won_volume,trend_corr,last_price,reasons,ticker,name
KR,92.5,5.44,1.5,False,2765016010312.0,0.141,108820.0,변동폭 적정(5.4%); 유동성 충분; 추세지속성 양호(0.14),069500,KODEX 200
US,92.4,2.36,0.0,False,17322607048.0,0.075,308.91,변동폭 적정(2.4%); 유동성 충분; 추세지속성 양호(0.08),AAPL,
KR,91.9,6.76,1.5,False,9379027533705.0,0.122,262500.0,변동폭 적정(6.8%); 유동성 충분; 추세지속성 양호(0.12),005930,삼성전자
US,91.4,2.69,0.0,False,12299688497.0,0.045,271.58,변동폭 적정(2.7%); 유동성 충분,AMZN,
KR,91.0,5.54,3.0,False,959587803155.0,0.157,1046.0,변동폭 적정(5.5%); 유동성 충분; 추세지속성 양호(0.16),114800,KODEX 인버스
US,89.9,7.05,1.7,False,14564311212.0,0.068,90.2,변동폭 적정(7.1%); 유동성 충분; 추세지속성 양호(0.07),INTC,
US,89.3,5.7,1.7,False,533730461.0,0.051,35.6,변동폭 적정(5.7%); 유동성 충분; 추세지속성 양호(0.05),RBLX,
KR,89.3,5.42,0.0,False,560402490705.0,-0.019,12100.0,변동폭 적정(5.4%); 유동성 충분,229200,KODEX 코스닥150
KR,87.0,5.58,1.5,False,109065976725.0,-0.025,2880.0,변동폭 적정(5.6%); 유동성 충분,251340,KODEX 코스닥150선물인버스
US,86.1,5.59,0.0,False,1454710756.0,-0.115,9.14,변동폭 적정(5.6%); 유동성 충분; 평균회귀 성향(-0.12),NOK,
US,85.3,4.05,0.0,False,209480221.0,-0.14,5.32,변동폭 적정(4.1%); 유동성 충분; 평균회귀 성향(-0.14),RIG,
US,83.7,3.38,0.0,False,32205954100.0,-0.188,200.75,변동폭 적정(3.4%); 유동성 충분; 평균회귀 성향(-0.19),NVDA,
US,75.9,9.09,6.7,False,2538976971.0,-0.055,36.8,변동폭 다소 높음(9.1%); 유동성 충분; 평균회귀 성향(-0.06),IREN,
KR,70.8,0.87,0.0,False,828061655947.0,0.022,26545.0,변동폭 다소 낮음(0.9%); 유동성 충분,360750,TIGER 미국S&P500
KR,67.8,11.39,21.2,False,12222322835.0,0.244,87.0,변동폭 다소 높음(11.4%); 패닉성 급변동 비율 높음(21%); 유동성 충분; 추세지속성 양호(0.24),252710,TIGER 200선물인버스2X
KR,67.1,10.85,18.2,False,2641954192240.0,0.176,110945.0,변동폭 다소 높음(10.9%); 패닉성 급변동 비율 높음(18%); 유동성 충분; 추세지속성 양호(0.18),122630,KODEX 레버리지
KR,66.9,10.85,13.6,False,100604731255.0,0.112,808.0,변동폭 다소 높음(10.9%); 유동성 충분; 추세지속성 양호(0.11),462330,KODEX 2차전지산업레버리지
KR,64.7,10.6,13.6,False,714304269426.0,0.022,5220.0,변동폭 다소 높음(10.6%); 유동성 충분,233740,KODEX 코스닥150레버리지
KR,63.9,11.83,22.7,False,919873873145.0,0.167,82.0,변동폭 다소 높음(11.8%); 패닉성 급변동 비율 높음(23%); 유동성 충분; 추세지속성 양호(0.17),252670,KODEX 200선물인버스2X
KR,55.4,14.86,41.3,False,1777857645433.0,0.185,12615.0,변동폭 다소 높음(14.9%); 패닉성 급변동 비율 높음(41%); 유동성 충분; 추세지속성 양호(0.18),0193W0,KODEX 삼성전자단일종목레버리지
KR,45.7,17.95,60.9,False,1981534319905.0,0.171,9445.0,변동폭 다소 높음(18.0%); 패닉성 급변동 비율 높음(61%); 유동성 충분; 추세지속성 양호(0.17),0195S0,TIGER SK하이닉스단일종목레버리지
KR,44.0,18.06,56.5,False,4070071054347.0,0.131,11055.0,변동폭 다소 높음(18.1%); 패닉성 급변동 비율 높음(57%); 유동성 충분; 추세지속성 양호(0.13),0193T0,KODEX SK하이닉스단일종목레버리지
KR,40.3,18.65,63.0,False,2119227565572.0,0.07,7695.0,변동폭 다소 높음(18.7%); 패닉성 급변동 비율 높음(63%); 유동성 충분; 추세지속성 양호(0.07),0197X0,SOL SK하이닉스선물단일종목인버스2X
