market,score,avg_daily_range_pct,panic_day_ratio_pct,is_nr7,avg_won_volume,trend_corr,last_price,reasons,ticker,name
KR,100.0,5.08,0.0,True,102704087637.0,0.037,2860.0,"변동폭 적정(5.1%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)",251340,KODEX 코스닥150선물인버스
US,100.0,3.48,0.0,True,982389480.0,0.008,14.09,"변동폭 적정(3.5%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)",NU,
KR,96.9,4.92,0.0,False,853968368078.0,0.212,1125.0,변동폭 적정(4.9%); 유동성 충분; 추세지속성 양호(0.21),114800,KODEX 인버스
US,94.5,4.88,0.0,False,1362813643.0,0.14,16.46,변동폭 적정(4.9%); 유동성 충분; 추세지속성 양호(0.14),SOFI,
US,94.4,4.01,0.0,False,1688501178.0,0.137,14.48,변동폭 적정(4.0%); 유동성 충분; 추세지속성 양호(0.14),AAL,
US,92.2,2.58,0.0,False,1386904968.0,0.071,24.13,변동폭 적정(2.6%); 유동성 충분; 추세지속성 양호(0.07),T,
US,91.1,5.29,0.0,False,226530790.0,0.037,11.93,변동폭 적정(5.3%); 유동성 충분,CLF,
KR,90.7,4.95,0.0,False,548293195561.0,0.025,12510.0,변동폭 적정(5.0%); 유동성 충분,229200,KODEX 코스닥150
US,89.7,5.97,0.0,False,648302258.0,-0.007,10.84,변동폭 적정(6.0%); 유동성 충분,PATH,
US,89.4,7.02,1.7,False,14988356024.0,0.054,92.32,변동폭 적정(7.0%); 유동성 충분; 추세지속성 양호(0.05),INTC,
US,88.8,5.69,0.0,False,1523642087.0,-0.033,9.1,변동폭 적정(5.7%); 유동성 충분,NOK,
US,87.3,4.03,0.0,False,19325905364.0,-0.079,313.03,변동폭 적정(4.0%); 유동성 충분; 평균회귀 성향(-0.08),TSLA,
KR,87.2,5.74,7.6,False,2671972831.0,0.524,2340.0,변동폭 적정(5.7%); 유동성 부족 가능성; 추세지속성 양호(0.52),002140,고려산업
US,86.3,3.9,1.7,False,907495171.0,-0.042,14.37,변동폭 적정(3.9%); 유동성 충분,F,
US,81.9,3.33,0.0,False,32297421735.0,-0.243,206.84,변동폭 적정(3.3%); 유동성 충분; 평균회귀 성향(-0.24),NVDA,
US,79.5,8.5,3.3,False,784381632.0,-0.135,7.8,변동폭 다소 높음(8.5%); 유동성 충분; 평균회귀 성향(-0.14),ONDS,
KR,76.0,9.66,9.1,False,702730041825.0,0.097,5875.0,변동폭 다소 높음(9.7%); 유동성 충분; 추세지속성 양호(0.10),233740,KODEX 코스닥150레버리지
KR,74.0,9.97,16.7,False,10882452580.0,0.303,110.0,변동폭 다소 높음(10.0%); 패닉성 급변동 비율 높음(17%); 유동성 충분; 추세지속성 양호(0.30),252710,TIGER 200선물인버스2X
KR,73.6,0.81,0.0,False,665333084851.0,0.138,24585.0,변동폭 다소 낮음(0.8%); 유동성 충분; 추세지속성 양호(0.14),379800,KODEX 미국S&P500
KR,72.6,0.79,0.0,False,807480364173.0,0.117,26965.0,변동폭 다소 낮음(0.8%); 유동성 충분; 추세지속성 양호(0.12),360750,TIGER 미국S&P500
KR,70.0,10.45,10.6,False,110735702586.0,0.047,885.0,변동폭 다소 높음(10.4%); 유동성 충분,462330,KODEX 2차전지산업레버리지
KR,69.1,10.58,18.2,False,839950155444.0,0.211,102.0,변동폭 다소 높음(10.6%); 패닉성 급변동 비율 높음(18%); 유동성 충분; 추세지속성 양호(0.21),252670,KODEX 200선물인버스2X
KR,62.6,13.78,36.6,False,1877506012102.0,0.305,12430.0,변동폭 다소 높음(13.8%); 패닉성 급변동 비율 높음(37%); 유동성 충분; 추세지속성 양호(0.31),0193W0,KODEX 삼성전자단일종목레버리지
KR,61.9,13.69,31.7,False,1079088678300.0,0.276,11380.0,변동폭 다소 높음(13.7%); 패닉성 급변동 비율 높음(32%); 유동성 충분; 추세지속성 양호(0.28),0195R0,TIGER 삼성전자단일종목레버리지
KR,50.9,17.03,58.5,False,2100987610782.0,0.246,10990.0,변동폭 다소 높음(17.0%); 패닉성 급변동 비율 높음(59%); 유동성 충분; 추세지속성 양호(0.25),0195S0,TIGER SK하이닉스단일종목레버리지
KR,49.5,16.99,53.7,False,4187668483624.0,0.2,13015.0,변동폭 다소 높음(17.0%); 패닉성 급변동 비율 높음(54%); 유동성 충분; 추세지속성 양호(0.20),0193T0,KODEX SK하이닉스단일종목레버리지
KR,45.8,17.67,63.4,False,1959965536646.0,0.148,11960.0,변동폭 다소 높음(17.7%); 패닉성 급변동 비율 높음(63%); 유동성 충분; 추세지속성 양호(0.15),0197X0,SOL SK하이닉스선물단일종목인버스2X
