market,score,avg_daily_range_pct,panic_day_ratio_pct,is_nr7,is_high_rvol,rvol,avg_won_volume,trend_corr,last_price,reasons,ticker,name
KR,100.0,7.69,7.2,False,True,7.1,3579217934.0,0.314,2860.0,변동폭 적정(7.7%); 유동성 충분; 추세지속성 양호(0.31); RVOL 높음(평소 대비 7.1배 거래량),215600,신라젠
KR,98.0,6.53,1.4,True,False,0.64,551442901868.0,0.002,14200.0,"변동폭 적정(6.5%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)",229200,KODEX 코스닥150
KR,97.5,6.89,2.9,True,False,0.83,1075665200642.0,0.045,1024.0,"변동폭 적정(6.9%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)",114800,KODEX 인버스
KR,96.3,6.77,2.9,True,False,0.99,2649405410766.0,0.008,107710.0,"변동폭 적정(6.8%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)",069500,KODEX 200
KR,96.0,6.69,2.9,True,False,0.62,128838191187.0,-0.0,2400.0,"변동폭 적정(6.7%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)",251340,KODEX 코스닥150선물인버스
KR,91.3,1.67,0.0,False,False,1.34,321597818291.0,0.219,26705.0,변동폭 다소 낮음(1.7%); 유동성 충분; 추세지속성 양호(0.22),379810,KODEX 미국나스닥100
KR,89.0,1.13,0.0,True,False,0.94,677498922943.0,0.129,23920.0,"변동폭 다소 낮음(1.1%); 유동성 충분; 추세지속성 양호(0.13); NR7(최근7일중 최저변동성, 돌파 임박 가능성)",379800,KODEX 미국S&P500
KR,87.1,1.13,0.0,True,False,1.3,915398968514.0,0.074,26335.0,"변동폭 다소 낮음(1.1%); 유동성 충분; 추세지속성 양호(0.07); NR7(최근7일중 최저변동성, 돌파 임박 가능성)",360750,TIGER 미국S&P500
KR,83.7,10.09,10.1,False,True,4.67,172531629779.0,0.109,19100.0,변동폭 다소 높음(10.1%); 유동성 충분; 추세지속성 양호(0.11); RVOL 높음(평소 대비 4.7배 거래량),047040,대우건설
KR,72.2,11.83,14.5,True,False,0.95,81938628672.0,0.094,993.0,"변동폭 다소 높음(11.8%); 유동성 충분; 추세지속성 양호(0.09); NR7(최근7일중 최저변동성, 돌파 임박 가능성)",462330,KODEX 2차전지산업레버리지
KR,66.8,12.78,24.6,True,False,0.62,750790143772.0,0.037,7105.0,"변동폭 다소 높음(12.8%); 패닉성 급변동 비율 높음(25%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)",233740,KODEX 코스닥150레버리지
KR,64.2,13.13,24.6,True,False,0.78,44118022753.0,-0.009,1752.0,"변동폭 다소 높음(13.1%); 패닉성 급변동 비율 높음(25%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)",Q530107,삼성 인버스 2X 코스닥150 선물 ETN
KR,63.7,13.96,34.8,True,False,0.61,13095862813.0,0.051,84.0,"변동폭 다소 높음(14.0%); 패닉성 급변동 비율 높음(35%); 유동성 충분; 추세지속성 양호(0.05); NR7(최근7일중 최저변동성, 돌파 임박 가능성)",252710,TIGER 200선물인버스2X
KR,61.6,14.53,37.7,True,False,0.9,900632480662.0,0.037,77.0,"변동폭 다소 높음(14.5%); 패닉성 급변동 비율 높음(38%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)",252670,KODEX 200선물인버스2X
KR,47.7,19.81,68.3,True,False,0.76,3060934130871.0,0.085,10090.0,"변동폭 다소 높음(19.8%); 패닉성 급변동 비율 높음(68%); 유동성 충분; 추세지속성 양호(0.09); NR7(최근7일중 최저변동성, 돌파 임박 가능성)",0193T0,KODEX SK하이닉스단일종목레버리지
