ticker,market,score,name,avg_daily_range_pct,panic_day_ratio_pct,is_nr7,is_high_rvol,rvol,avg_won_volume,trend_corr,last_price,reasons
AAL,US,100.0,"American Airlines Group, Inc.",4.24,0.0,True,False,1.07,1709967311.0,0.012,13.72,"변동폭 적정(4.2%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)"
NU,US,95.8,Nu Holdings Ltd.,3.87,0.0,False,False,0.6,1035953202.0,0.179,14.88,변동폭 적정(3.9%); 유동성 충분; 추세지속성 양호(0.18)
NOK,US,92.8,Nokia Corporation Sponsored,6.02,1.7,True,False,0.97,1098799716.0,-0.145,10.59,"변동폭 적정(6.0%); 유동성 충분; 평균회귀 성향(-0.15); NR7(최근7일중 최저변동성, 돌파 임박 가능성)"
NVDA,US,92.1,NVIDIA Corporation,3.49,0.0,False,True,2.73,28423704946.0,-0.235,227.98,변동폭 적정(3.5%); 유동성 충분; 평균회귀 성향(-0.23); RVOL 높음(평소 대비 2.7배 거래량)
INTC,US,88.6,Intel Corporation,7.5,0.0,False,False,1.04,12617656814.0,-0.04,92.09,변동폭 적정(7.5%); 유동성 충분
SPCX,US,87.3,Space Exploration Technologies ,7.96,11.3,True,False,0.64,16927884706.0,0.074,140.87,"변동폭 적정(8.0%); 유동성 충분; 추세지속성 양호(0.07); NR7(최근7일중 최저변동성, 돌파 임박 가능성)"
ONDS,US,87.2,Ondas Inc,7.87,1.7,False,False,1.2,675270721.0,-0.013,8.75,변동폭 적정(7.9%); 유동성 충분
IREN,US,82.2,IREN LIMITED,9.52,8.5,True,False,1.1,1950223596.0,-0.055,40.53,"변동폭 다소 높음(9.5%); 유동성 충분; 평균회귀 성향(-0.06); NR7(최근7일중 최저변동성, 돌파 임박 가능성)"
PCG,US,81.9,Pacific Gas & Electric Co.,2.59,0.0,False,False,1.12,364723945.0,-0.244,17.95,변동폭 적정(2.6%); 유동성 충분; 평균회귀 성향(-0.24)
