market,score,avg_daily_range_pct,panic_day_ratio_pct,is_nr7,is_high_rvol,rvol,avg_won_volume,trend_corr,last_price,reasons,ticker,name
KR,100.0,7.17,4.4,False,True,2.44,13244972099.0,0.198,6490.0,변동폭 적정(7.2%); 유동성 충분; 추세지속성 양호(0.20); RVOL 높음(평소 대비 2.4배 거래량),041190,우리기술투자
KR,98.1,6.42,1.5,True,False,0.87,546975865260.0,0.004,14475.0,"변동폭 적정(6.4%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)",229200,KODEX 코스닥150
KR,98.0,6.78,2.9,True,False,0.61,1056777317114.0,0.06,1028.0,"변동폭 적정(6.8%); 유동성 충분; 추세지속성 양호(0.06); NR7(최근7일중 최저변동성, 돌파 임박 가능성)",114800,KODEX 인버스
KR,96.8,6.65,2.9,True,False,0.99,2629976708621.0,0.024,107180.0,"변동폭 적정(6.6%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)",069500,KODEX 200
KR,96.0,6.58,2.9,True,False,0.5,127539152533.0,-0.0,2350.0,"변동폭 적정(6.6%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)",251340,KODEX 코스닥150선물인버스
KR,75.1,9.16,13.2,False,True,4.08,3779080088.0,-0.111,1214.0,변동폭 다소 높음(9.2%); 유동성 충분; 평균회귀 성향(-0.11); RVOL 높음(평소 대비 4.1배 거래량),018000,유니슨
KR,68.5,15.17,41.2,False,True,2.54,28720743796.0,0.478,10680.0,변동폭 다소 높음(15.2%); 패닉성 급변동 비율 높음(41%); 유동성 충분; 추세지속성 양호(0.48); RVOL 높음(평소 대비 2.5배 거래량),001210,금호전기
KR,67.4,12.58,25.0,True,False,0.61,743538627972.0,0.039,7395.0,"변동폭 다소 높음(12.6%); 패닉성 급변동 비율 높음(25%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)",233740,KODEX 코스닥150레버리지
KR,66.3,13.93,30.9,True,True,2.68,1088683381.0,0.332,312.0,"변동폭 다소 높음(13.9%); 패닉성 급변동 비율 높음(31%); 유동성 부족 가능성; 추세지속성 양호(0.33); NR7(최근7일중 최저변동성, 돌파 임박 가능성); RVOL 높음(평소 대비 2.7배 거래량)",288980,모아데이타
KR,65.0,12.92,25.0,True,False,0.69,44075320711.0,-0.005,1683.0,"변동폭 다소 높음(12.9%); 패닉성 급변동 비율 높음(25%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)",Q530107,삼성 인버스 2X 코스닥150 선물 ETN
KR,64.9,13.73,33.8,True,False,0.52,12368822862.0,0.067,85.0,"변동폭 다소 높음(13.7%); 패닉성 급변동 비율 높음(34%); 유동성 충분; 추세지속성 양호(0.07); NR7(최근7일중 최저변동성, 돌파 임박 가능성)",252710,TIGER 200선물인버스2X
KR,64.4,16.54,45.6,False,True,2.54,105351375130.0,0.328,17020.0,변동폭 다소 높음(16.5%); 패닉성 급변동 비율 높음(46%); 유동성 충분; 추세지속성 양호(0.33); RVOL 높음(평소 대비 2.5배 거래량),002990,금호건설
KR,62.8,14.31,36.8,True,False,0.56,856000683939.0,0.054,77.0,"변동폭 다소 높음(14.3%); 패닉성 급변동 비율 높음(37%); 유동성 충분; 추세지속성 양호(0.05); NR7(최근7일중 최저변동성, 돌파 임박 가능성)",252670,KODEX 200선물인버스2X
KR,62.2,11.72,14.7,False,False,0.9,78246348000.0,0.094,1109.0,변동폭 다소 높음(11.7%); 유동성 충분; 추세지속성 양호(0.09),462330,KODEX 2차전지산업레버리지
KR,38.4,19.5,66.2,False,False,0.6,2973805012670.0,0.091,9630.0,변동폭 다소 높음(19.5%); 패닉성 급변동 비율 높음(66%); 유동성 충분; 추세지속성 양호(0.09),0193T0,KODEX SK하이닉스단일종목레버리지
