timestamp,action,ticker,price,shares,reason,reason_kr,extra,mode
2026-08-07T10:30:46.145130,BUY,114800,1139.0,438,orb_vwap_breakout,박스+VWAP 동시 돌파 매수,,MOCK
2026-08-07T10:31:06.463423,BUY,251340,2590.0,193,orb_vwap_breakout,박스+VWAP 동시 돌파 매수,,MOCK
2026-08-07T11:30:52.146920,SELL,114800,1145.0,438,take_profit,익절 (목표 수익 도달),pnl=2628,MOCK
2026-08-07T11:31:16.788204,SELL,251340,2615.0,193,take_profit,익절 (목표 수익 도달),pnl=4825,MOCK
2026-08-07T23:45:07.189124,BUY_US,AMZN,276.6499938964844,1,orb_vwap_breakout,박스+VWAP 동시 돌파 매수,,MOCK
