timestamp,action,ticker,price,shares,reason,extra,mode
2026-07-23T00:00:06.410776,BUY_US,SQQQ,40.61309814453125,9,orb_vwap_breakout,,MOCK
2026-07-23T00:00:08.999333,BUY_US,SOXL,160.10000610351562,2,orb_vwap_breakout,,MOCK
2026-07-23T00:05:08.183795,SELL_US,SOXL,162.60000610351562,2,take_profit,pnl_krw=6750,MOCK
2026-07-23T01:30:05.697811,SELL_US,SQQQ,40.25,9,emergency_carryover_close,pnl_krw=-4412,MOCK
2026-07-23T01:35:08.131595,BUY_US,SOXL,164.86000061035156,2,orb_vwap_breakout,,MOCK
2026-07-23T01:35:12.762320,SELL_US,SPXL,272.5199890136719,1,emergency_carryover_close,pnl_krw=1579,MOCK
2026-07-23T01:35:12.924831,BUY_US,SPXL,272.79998779296875,1,orb_vwap_breakout,,MOCK
2026-07-23T03:00:06.048567,BUY_US,SQQQ,40.599998474121094,9,orb_vwap_breakout,,MOCK
2026-07-23T04:40:15.034614,BUY_US,SPXS,26.520099639892578,13,orb_vwap_breakout,,MOCK
2026-07-23T04:50:05.774567,SELL_US,SQQQ,40.619998931884766,9,time_close,pnl_krw=243,MOCK
2026-07-23T04:50:12.701287,SELL_US,SPXL,270.5899963378906,1,time_close,pnl_krw=-2983,MOCK
2026-07-23T04:50:15.533140,SELL_US,SPXS,26.479999542236328,13,time_close,pnl_krw=-704,MOCK
2026-07-23T22:30:11.578966,BUY_US,SOXS,46.68000030517578,7,orb_vwap_breakout,,MOCK
2026-07-23T22:35:11.261047,SELL_US,SOXS,45.77000045776367,7,stop_loss,pnl_krw=-8599,MOCK
