timestamp,action,ticker,price,shares,reason,reason_kr,extra,mode
2026-08-14T10:30:27.293319,BUY,114800,1024.0,488,orb_vwap_breakout,박스+VWAP 동시 돌파 매수,,MOCK
2026-08-14T10:31:00.360746,BUY,251340,2350.0,212,orb_vwap_breakout,박스+VWAP 동시 돌파 매수,,MOCK
2026-08-14T13:31:46.721835,SELL,114800,1014.0,488,stop_loss,손절 (손실 제한),pnl=-4880,MOCK
2026-08-14T15:26:28.397053,SELL,251340,2320.0,212,time_close,장마감 강제청산,pnl=-6360,MOCK
2026-08-14T23:00:04.699871,BUY_US,TTD,14.53499984741211,24,orb_vwap_breakout,박스+VWAP 동시 돌파 매수,,MOCK
