timestamp,action,ticker,price,shares,reason,reason_kr,extra,mode
2026-08-10T09:25:06.404306,BUY,229200,14235.0,35,orb_vwap_breakout,박스+VWAP 동시 돌파 매수,,MOCK
2026-08-10T10:30:14.412496,SELL,229200,14675.0,35,take_profit,익절 (목표 수익 도달),pnl=15400,MOCK
2026-08-10T10:30:49.738343,BUY,379800,24720.0,20,orb_vwap_breakout,박스+VWAP 동시 돌파 매수,,MOCK
2026-08-10T15:21:52.273624,SELL,379800,24760.0,20,time_close,장마감 강제청산,pnl=800,MOCK
2026-08-10T23:04:14.345694,BUY_US,PATH,15.079999923706055,24,orb_vwap_breakout,박스+VWAP 동시 돌파 매수,,MOCK
2026-08-10T23:15:10.931127,BUY_US,BTG,5.014999866485596,73,orb_vwap_breakout,박스+VWAP 동시 돌파 매수,,MOCK
2026-08-10T23:35:09.934413,SELL_US,BTG,5.085000038146973,73,take_profit,익절 (목표 수익 도달),pnl_krw=6899,MOCK
2026-08-11T00:55:10.870177,SELL_US,PATH,15.3100004196167,24,take_profit,익절 (목표 수익 도달),pnl_krw=7452,MOCK
