timestamp,action,ticker,price,shares,reason,reason_kr,extra,mode
2026-08-28T11:30:40.017204,BUY,000100,83300.0,6,orb_vwap_breakout,박스+VWAP 동시 돌파 매수,,MOCK
2026-08-28T11:31:08.739096,BUY,000080,15350.0,32,orb_vwap_breakout,박스+VWAP 동시 돌파 매수,,MOCK
2026-08-28T11:31:25.819441,BUY,000020,5130.0,97,orb_vwap_breakout,박스+VWAP 동시 돌파 매수,,MOCK
2026-08-28T13:31:51.053237,SELL,000080,15540.0,16,take_profit_partial,"1차 분할 익절 (절반 매도, 잔여는 본전손절로 보유)",pnl=3040,MOCK
2026-08-28T14:31:23.252701,SELL,000100,84700.0,3,take_profit_partial,"1차 분할 익절 (절반 매도, 잔여는 본전손절로 보유)",pnl=4200,MOCK
2026-08-28T15:21:08.277704,SELL,000100,84700.0,3,time_close,장마감 강제청산,pnl=4200,MOCK
2026-08-28T15:21:50.171175,SELL,000080,15630.0,16,time_close,장마감 강제청산,pnl=4480,MOCK
2026-08-28T15:26:38.673143,SELL,000020,5170.0,97,time_close,장마감 강제청산,pnl=3880,MOCK
2026-08-28T23:05:09.764724,BUY_US,INTC,92.41940307617188,3,orb_vwap_breakout,박스+VWAP 동시 돌파 매수,,MOCK
2026-08-28T23:50:09.666980,SELL_US,INTC,92.17500305175781,1,take_profit_partial,"1차 분할 익절 (절반 매도, 잔여는 본전손절로 보유)",pnl_krw=-337,MOCK
2026-08-28T23:55:05.451548,BUY_US,PATH,18.424999237060547,19,orb_vwap_breakout,박스+VWAP 동시 돌파 매수,,MOCK
2026-08-28T23:55:11.045827,SELL_US,INTC,91.56009674072266,2,stop_loss,손절 (손실 제한),pnl_krw=-2369,MOCK
2026-08-29T04:50:04.984008,SELL_US,PATH,18.204999923706055,19,time_close,장마감 강제청산,pnl_krw=-5761,MOCK
